Rank	Node
638	c04
639	c08
640	e09
641	b32
642	e27
643	d29
644	c28
645	b25
646	e31
647	b30
648	d23
649	c03
650	c25
651	b28
652	e05
653	e32
654	e06
655	e07
656	b22
657	e29
658	d32
659	b33
660	c13
661	e26
662	c06
663	c10
664	e10
665	c09
666	b31
667	e04
668	c11
669	e11
670	e30
671	c12
672	d31
673	e12
674	b34
675	e03
676	d28
677	e08
678	c04
679	e11
680	d29
681	e32
682	e27
683	c11
684	e08
685	d25
686	c05
687	b23
688	d28
689	e26
690	b34
691	c07
692	e10
693	b28
694	c26
695	c13
696	c10
697	d23
698	b30
699	d32
700	c25
701	e29
702	c09
703	e05
704	e31
705	d24
706	b22
707	b27
708	b31
709	c06
710	b26
711	c03
712	e12
713	c27
714	e13
715	b25
716	c08
717	e30
718	b33
719	d31
720	b29
721	c02
722	b36
723	c12
724	d30
725	e04
726	b32
727	e28
728	c28
729	c01
730	b24
731	e09
732	e06
733	e25
734	e07
735	e32
736	d29
737	c12
738	c27
739	b30
740	e10
741	c03
742	e06
743	c26
744	b34
745	e07
746	e27
747	b31
748	d30
749	c09
750	b22
751	b35
752	e28
753	d25
754	e09
755	d24
756	b23
757	b33
758	c01
759	d31
760	c07
761	e11
762	b26
763	e08
764	d23
765	c05
766	c28
767	e30
768	e31
769	c11
770	b29
771	c02
772	e26
773	c06
774	e29
775	b32
776	b27
777	b36
778	c04
779	e12
780	b24
781	e03
782	c13
783	c10
784	d32
785	e04
786	c25
787	e13
788	e25
789	b25
790	d28
791	e05
792	b28
793	c08
794	c26
795	e13
796	c10
797	d25
798	b32
799	c01
800	d28
801	c12
802	e04
803	e11
804	b35
805	c03
806	e08
807	b29
808	c02
809	b36
810	e31
811	d29
812	e12
813	c11
814	e05
815	c28
816	c08
817	b23
818	e07
819	c13
820	d31
821	d30
822	b30
823	c04
824	e29
825	e03
826	b33
827	e06
828	e27
829	b26
830	b28
831	b31
832	d32
833	c05
834	d24
835	e28
836	c07
837	b27
838	c25
839	e09
840	e10
841	c09
842	d23
843	e30
844	b22
845	c06
846	c27
847	e26
848	b24
849	e30
850	c11
851	e06
852	b30
853	b31
854	c12
855	c28
856	e28
857	c07
858	e26
859	d35
860	c25
861	c04
862	e29
863	c03
864	d25
865	c08
866	e27
867	d23
868	b26
869	d32
870	b23
871	b27
872	c26
873	c27
874	b24
875	e13
876	e12
877	d24
878	c02
879	c13
880	c09
881	c06
882	b35
883	e04
884	e03
885	c10
886	b29
887	e05
888	e07
889	e31
890	e08
891	d31
892	c05
893	b33
894	b32
895	d28
896	b36
897	e09
898	d30
899	b22
900	e11
901	b25
902	e25
903	b28
904	e10
905	c01
906	d29
907	b31
908	c25
909	b28
910	c04
911	c10
912	e30
913	e09
914	d30
915	e27
916	b29
917	b26
918	d31
919	b25
920	e25
921	e12
922	c08
923	e06
924	e03
925	c28
926	b27
927	e26
928	c07
929	e04
930	e11
931	b23
932	c05
933	c26
934	e28
935	c11
936	c01
937	e05
938	c13
939	e08
940	e10
941	d24
942	b35
943	e07
944	d23
945	c03
946	b24
947	d29
948	e13
949	b33
950	d28
951	c12
952	e29
953	c09
954	b30
955	b36
956	c06
957	d25
958	b32
959	d35
960	d32
961	c02
962	e31
963	c27
964	e30
965	e07
966	d23
967	c26
968	e13
969	e25
970	c07
971	c11
972	e11
973	b36
974	d36
975	e04
976	e09
977	e29
978	d30
979	b33
980	c06
981	b31
982	e27
983	b28
984	c03
985	c08
986	b23
987	e12
988	b34
989	e10
990	d29
991	e31
992	c09
993	c04
994	d25
995	e02
996	b26
997	e26
998	c13
999	b30
1000	b35
1001	c01
1002	b29
1003	b24
1004	e06
1005	e28
1006	b32
1007	e05
1008	c10
1009	c25
1010	e03
1011	d35
1012	c28
1013	c12
1014	c27
1015	d31
1016	d32
1017	b25
1018	e08
1019	b27
1020	c05
1021	c02
1022	d24
1023	d28
